tweet_id,favorites,retweets
861383897657036800,31418,9076
861288531465048066,14927,3511
861005113778896900,14523,3257
860981674716409858,0,1821
860924035999428608,0,662
860563773140209665,6533,1821
860524505164394496,20579,4495
860276583193509888,16014,2996
860184849394610176,14562,5004
860177593139703809,0,26115
859924526012018688,17053,3495
859851578198683649,13557,3009
859607811541651456,16331,1346
859196978902773760,78311,25733
859074603037188101,29643,11746
858860390427611136,0,6937
858843525470990336,13756,2974
858471635011153920,18928,4179
858107933456039936,13825,2481
857989990357356544,14050,2223
857746408056729600,29978,9162
857393404942143489,5158,1410
857263160327368704,17780,3895
857214891891077121,198,16
857062103051644929,0,142
857029823797047296,16628,3431
856543823941562368,14367,2493
856526610513747968,10492,1617
856288084350160898,473,14
856282028240666624,24552,5470
855862651834028034,296,21
855860136149123072,4293,841
855857698524602368,10525,1813
855851453814013952,40275,15614
855818117272018944,23576,4704
855459453768019968,26376,7167
855245323840757760,0,5155
855138241867124737,0,36
854732716440526848,20122,5247
854482394044301312,25836,5909
854365224396361728,16690,4060
854120357044912130,28323,6461
854010172552949760,14353,2746
853760880890318849,25322,5029
853639147608842240,30729,8700
853299958564483072,13724,3113
852936405516943360,0,1756
852912242202992640,7990,1557
852672615818899456,13220,1870
852553447878664193,14454,3055
852311364735569921,29475,8685
852226086759018497,17805,5952
852189679701164033,10238,1397
851591660324737024,14525,3065
851464819735769094,21629,6173
851224888060895234,18482,5055
850753642995093505,27384,7945
850380195714523136,11684,2283
850333567704068097,3092,299
850145622816686080,14605,3325
850019790995546112,18216,4287
849776966551130114,27104,6686
849668094696017920,0,4351
849412302885593088,14247,2778
849336543269576704,10231,1653
849051919805034497,37785,7454
848690551926992896,22538,3853
848324959059550208,22171,4078
848213670039564288,7300,633
848212111729840128,14577,2663
847978865427394560,0,2850
847971574464610304,0,383
847962785489326080,21133,4487
847842811428974592,4893,1169
847617282490613760,6245,372
847606175596138505,16847,3025
847251039262605312,18403,3838
847157206088847362,17806,5126
847116187444137987,19243,2820
846874817362120707,18110,3487
846514051647705089,39965,10182
846505985330044928,12644,2705
846153765933735936,28338,7999
846139713627017216,27965,8952
846042936437604353,14390,2536
845812042753855489,26263,7720
845677943972139009,22718,4296
845397057150107648,6881,1584
845306882940190720,21020,4763
845098359547420673,0,6797
844979544864018432,12338,2283
844973813909606400,13564,2798
844580511645339650,14820,2766
844223788422217728,12342,1960
843981021012017153,13711,2651
843856843873095681,19378,4093
843604394117681152,15282,2436
843235543001513987,19408,5287
842846295480000512,13822,3238
842765311967449089,6120,1158
842535590457499648,16374,3099
842163532590374912,22098,5155
842115215311396866,12667,2694
841833993020538882,0,13312
841680585030541313,23312,7001
841439858740625411,11361,3230
841320156043304961,17891,4920
841314665196081154,14323,4161
